0.000,16,0,-1056,100
0.031,16,16,-1056,100
0.135,0,0,-1056,100
0.238,0,16,-1072,100
0.342,0,16,-1056,100
0.446,0,0,-1056,100
0.549,16,0,-1056,100
0.653,16,0,-1056,100
0.757,0,0,-1040,100
0.860,0,0,-1040,100
0.964,16,0,-1056,100
1.067,0,0,-1056,100
1.171,16,0,-1072,100
1.275,16,0,-1056,100
1.378,16,0,-1056,100
1.482,16,0,-1056,100
1.586,16,0,-1040,100
1.689,32,0,-1040,100
1.793,32,0,-1040,100
1.896,16,0,-1040,100
2.000,0,0,-1056,100
2.104,0,0,-1056,100
2.207,16,0,-1056,100
2.311,16,16,-1072,100
2.415,16,16,-1072,100
2.518,16,16,-1072,100
2.622,0,0,-1072,100
2.726,16,0,-1056,100
2.829,16,0,-1056,100
2.933,0,0,-1072,100
3.037,0,0,-1040,100
3.140,16,0,-1040,100
3.244,0,0,-1056,100
3.347,0,0,-1040,100
3.451,16,16,-1040,100
3.555,0,0,-1040,100
3.658,0,0,-1040,100
3.762,0,0,-1040,100
3.866,0,0,-1072,100
3.969,16,16,-1056,100
4.073,16,16,-1056,100
4.177,16,0,-1040,100
4.280,16,0,-1040,100
4.384,16,0,-1040,100
4.487,16,0,-1072,100
4.591,16,0,-1072,100
4.695,16,0,-1040,100
4.798,16,0,-1040,100
4.902,16,16,-1056,100
5.005,16,16,-1056,100
5.109,16,0,-1056,100
5.213,0,0,-1056,100
5.316,0,0,-1056,100
5.420,0,0,-1040,100
5.524,0,0,-1056,100
5.627,0,0,-1056,100
5.731,0,0,-1056,100
5.834,0,0,-1056,100
5.938,0,0,-1040,100
6.042,0,16,-1072,100
6.145,0,0,-1056,100
6.249,0,0,-1056,100
6.352,0,0,-1040,100
6.456,0,0,-1024,100
6.560,0,0,-1040,100
6.663,0,-16,-1104,100
6.767,16,0,-1088,100
6.871,16,0,-1056,100
6.974,0,0,-1056,100
7.078,0,0,-1056,100
7.182,16,0,-1056,100
7.285,16,0,-1040,100
7.389,16,0,-1040,100
